organelle,wavelength,intensity,experiment,field_of_view
peroxisome,483.765,0.6900773912920424,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
peroxisome,493.745,0.6106433487058374,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
peroxisome,503.735,0.21965442615124792,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
vacuole,463.8,0.19681775269495067,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
vacuole,473.78,0.3906693834312161,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
vacuole,483.765,0.5395928861509363,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
vacuole,493.745,0.6923356507711941,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
vacuole,503.735,0.2595857835663896,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-0
peroxisome,463.8,0.3696964072428785,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
peroxisome,473.78,0.7637072624048272,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
peroxisome,483.765,0.709534567667231,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
peroxisome,493.745,0.6300094749252921,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
peroxisome,503.735,0.24950206326884009,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
vacuole,463.8,0.2148511726782817,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
vacuole,473.78,0.40643070785028584,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
vacuole,483.765,0.5413158822234753,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
vacuole,493.745,0.700855420430674,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
vacuole,503.735,0.28925354478072174,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-1
peroxisome,463.8,0.388764324607138,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
peroxisome,473.78,0.7698539817117541,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
peroxisome,483.765,0.7171781834311064,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-2
