organelle,wavelength,intensity,experiment,field_of_view
mitochondria,580.875,0.44779915500022116,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
mitochondria,590.87,0.3811755454116972,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
mitochondria,600.865,0.5858744870443003,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
mitochondria,610.86,0.2062652640551863,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
LD,570.885,0.4117545285368368,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
LD,580.875,0.45159124483541313,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
LD,590.87,0.4145280821195662,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
LD,600.865,0.6097343152276681,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
LD,610.86,0.2446112100074915,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-3
mitochondria,570.885,0.48248104655960145,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-4
mitochondria,580.875,0.4653687703142725,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-4
mitochondria,590.87,0.4070674100864779,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-4
mitochondria,600.865,0.613079956167501,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-4
mitochondria,610.86,0.21513254940827656,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-4
LD,570.885,0.44338795698353567,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-4
LD,580.875,0.46311090651124653,EYrainbow_glucose,spectral-blue_EYrainbow_glu-50_field-4
