filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose/peroxisome_EYrainbow_glu-50_field-0,peroxisome,4359,918,0.12184826969307318,0.025661094649745624
EYrainbow_glucose/peroxisome_EYrainbow_glu-50_field-1,peroxisome,4077,836,0.10654923688061886,0.021848212418983902
EYrainbow_glucose/peroxisome_EYrainbow_glu-50_field-2,peroxisome,5932,1156,0.11114442029528591,0.02165929700966799
EYrainbow_glucose/peroxisome_EYrainbow_glu-50_field-3,peroxisome,7623,1458,0.11444399405485745,0.02188893392784759
EYrainbow_glucose/peroxisome_EYrainbow_glu-50_field-4,peroxisome,7745,1242,0.11532677159491937,0.018493976800631355
EYrainbow_glucose/peroxisome_EYrainbow_glu-50_field-5,peroxisome,7412,1252,0.11295853208772116,0.019080421232302604
EYrainbow_glucose/peroxisome_EYrainbow_glu-5_field-0,peroxisome,3447,722,0.0908085039121157,0.019020522142311442
EYrainbow_glucose/peroxisome_EYrainbow_glu-5_field-1,peroxisome,4690,972,0.08783264977433189,0.018203269846620598
EYrainbow_glucose/peroxisome_EYrainbow_glu-5_field-2,peroxisome,8197,1780,0.08955142351475955,0.0194463259553827
EYrainbow_glucose/peroxisome_EYrainbow_glu-5_field-3,peroxisome,5755,1168,0.09643742878208995,0.019572357396608352
EYrainbow_glucose/peroxisome_EYrainbow_glu-5_field-4,peroxisome,6911,1374,0.09774553066304593,0.019433129667345554
EYrainbow_glucose/peroxisome_EYrainbow_glu-5_field-5,peroxisome,7104,1380,0.09493645511766828,0.018442047869141644
EYrainbow_glucose/peroxisome_EYrainbow_glu-5_field-6,peroxisome,6936,1444,0.08660581617490978,0.018030391948755727
EYrainbow_glucose/vacuole_EYrainbow_glu-0-5_field-0,vacuole,2566,2372,0.011845409557574415,0.01094984858556762
EYrainbow_glucose/vacuole_EYrainbow_glu-0-5_field-1,vacuole,2192,2048,0.010630404314237079,0.00993205658556457
EYrainbow_glucose/vacuole_EYrainbow_glu-0-5_field-2,vacuole,2193,2040,0.010937655860349128,0.010174563591022444
EYrainbow_glucose/vacuole_EYrainbow_glu-0-5_field-3,vacuole,2244,2172,0.010457491972803065,0.010121957471001896
EYrainbow_glucose/vacuole_EYrainbow_glu-0-5_field-4,vacuole,1527,1254,0.012169366985710757,0.009993704125789973
EYrainbow_glucose/vacuole_EYrainbow_glu-0-5_field-5,vacuole,1684,1598,0.011382839220775709,0.010801530329453435
EYrainbow_glucose/vacuole_EYrainbow_glu-0_field-0,vacuole,2177,2102,0.008483492845340898,0.008191227359167004
EYrainbow_glucose/vacuole_EYrainbow_glu-0_field-1,vacuole,4202,3804,0.009097916269724421,0.008236190740131294
EYrainbow_glucose/vacuole_EYrainbow_glu-0_field-2,vacuole,2738,2276,0.009420135281124635,0.007830616471818727
EYrainbow_glucose/vacuole_EYrainbow_glu-0_field-3,vacuole,3496,3304,0.009641212321778218,0.00911171782355699
EYrainbow_glucose/vacuole_EYrainbow_glu-0_field-4,vacuole,1713,1614,0.010084656956823774,0.009501830898023101
EYrainbow_glucose/vacuole_EYrainbow_glu-0_field-5,vacuole,2007,1984,0.010421264155939913,0.010301837611053705
EYrainbow_glucose/vacuole_EYrainbow_glu-100_field-0,vacuole,2781,2650,0.013504129903805532,0.012868013033112068
EYrainbow_glucose/vacuole_EYrainbow_glu-100_field-1,vacuole,2624,2376,0.014097143501829298,0.01276479152452226
EYrainbow_glucose/vacuole_EYrainbow_glu-100_field-2,vacuole,3376,3046,0.014286742021895617,0.012890229916674777
EYrainbow_glucose/vacuole_EYrainbow_glu-100_field-3,vacuole,2516,2420,0.013581499794874009,0.01306328676613478
EYrainbow_glucose/vacuole_EYrainbow_glu-200_field-0,vacuole,2884,2700,0.01524546574263497,0.014272800799276845
EYrainbow_glucose/vacuole_EYrainbow_glu-200_field-1,vacuole,1451,1394,0.014229117225959558,0.013670151215015592
EYrainbow_glucose/vacuole_EYrainbow_glu-200_field-2,vacuole,1460,1410,0.013686559049065376,0.013217841273412453
EYrainbow_glucose/vacuole_EYrainbow_glu-200_field-3,vacuole,1055,1016,0.014518082237023174,0.013981394836791986
EYrainbow_glucose/vacuole_EYrainbow_glu-200_field-4,vacuole,1078,972,0.015141512746681648,0.013652644146358592
EYrainbow_glucose/vacuole_EYrainbow_glu-200_field-5,vacuole,1381,1262,0.014981557821653287,0.01369060533738338
EYrainbow_glucose/vacuole_EYrainbow_glu-50_field-0,vacuole,2904,2702,0.018242695697512988,0.016973747856294796
EYrainbow_glucose/vacuole_EYrainbow_glu-50_field-1,vacuole,3090,2896,0.014794457584433741,0.013865614616349551
EYrainbow_glucose/vacuole_EYrainbow_glu-50_field-2,vacuole,4410,4058,0.014481617212436458,0.013325714886183027
EYrainbow_glucose/vacuole_EYrainbow_glu-50_field-3,vacuole,5459,5084,0.014576029520531669,0.013574745206518227
EYrainbow_glucose/vacuole_EYrainbow_glu-50_field-4,vacuole,5577,5292,0.013847265431991478,0.013139632179684222
EYrainbow_glucose/vacuole_EYrainbow_glu-50_field-5,vacuole,5764,5510,0.014706782878487885,0.0140587046600396
EYrainbow_glucose/vacuole_EYrainbow_glu-5_field-0,vacuole,2690,2392,0.010472100999326515,0.009311994643267296
EYrainbow_glucose/vacuole_EYrainbow_glu-5_field-1,vacuole,3467,3188,0.01038929126874013,0.009553233505838919
EYrainbow_glucose/vacuole_EYrainbow_glu-5_field-2,vacuole,5903,5416,0.010141130590893083,0.00930448302223902
EYrainbow_glucose/vacuole_EYrainbow_glu-5_field-3,vacuole,4039,3732,0.010653815616979635,0.009844030671593958
EYrainbow_glucose/vacuole_EYrainbow_glu-5_field-4,vacuole,4594,4054,0.010213405483758374,0.00901287458231529
EYrainbow_glucose/vacuole_EYrainbow_glu-5_field-5,vacuole,5279,4896,0.010221488166579858,0.009479902645117444
EYrainbow_glucose/vacuole_EYrainbow_glu-5_field-6,vacuole,5163,4882,0.009574604210748851,0.009053499468695698
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-0,ER,1766,1722,0.006708987231650008,0.0065418323968863615
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-1,ER,3227,3260,0.01171048572931976,0.011830239689365486
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-2,ER,2997,3234,0.014149540387802218,0.015268473011061852
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-3,ER,2881,2718,0.010734899041274028,0.010127544461708715
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-4,ER,2875,2950,0.01395529451738951,0.014319345678712715
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-5,ER,1779,1804,0.013257815702202183,0.01344412564742706
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-6,ER,2850,2930,0.01202278000421852,0.012360261548196583
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0-5_field-7,ER,2817,2560,0.010113230848764657,0.009190582524968946
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0_field-0,ER,1562,1370,0.00717722036639664,0.006295001217646221
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0_field-1,ER,2784,2600,0.008678547714867313,0.00810496553830999
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0_field-2,ER,2804,2874,0.009067039178404667,0.009293391796981102
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0_field-3,ER,6144,5994,0.009727814360875947,0.009490318893081124
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0_field-4,ER,6103,6292,0.00966571482419422,0.009965046317193188
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0_field-5,ER,6366,6134,0.007943469846383824,0.007653981155783598
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-0_field-6,ER,1033,886,0.008009304128707114,0.006869548362085675
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-100_field-0,ER,3324,3688,0.010149680303391166,0.011261137472595252
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-100_field-1,ER,1824,2476,0.023000390905766492,0.031222021865503196
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-100_field-2,ER,2211,2336,0.00831103025199976,0.008780898538521681
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-100_field-3,ER,1887,1932,0.009619747245856677,0.00984915298303927
EYrainbow_glucose_largerBF/ER_EYrainbow_glu-100_field-4,ER,1748,1938,0.0127906806573883,0.014180972033191377
