YFP Volume Fraction,YFP Total Volume,Organelle Total Volume,Organelle Volume Fraction,Cell Volume
0,0,5.990953697,0.086763196,69.04948124
0.009055712,0.882501245,32.31491788,0.3315968,97.45244186
0,0,11.59878584,0.2335399,49.66511445
0.004113856,0.248790245,2.75503336,0.045555683,60.47617294
0.008594533,0.563298667,17.47602507,0.266640567,65.54150893
0,0,4.437967674,0.080194629,55.33996118
0,0,4.498066821,0.124342941,36.1746857
0.000769836,0.053982789,23.99468152,0.342182491,70.12247014
0.001435749,0.079800645,3.964489088,0.071327898,55.58118478
0,0,12.56327721,0.161590684,77.74753414
0,0,6.127510141,0.150706469,40.6585741
0,0,15.61471398,0.197148822,79.20267455
0.002222982,0.091536033,5.868967646,0.142529786,41.1771309
0,0,12.37109984,0.247534189,49.97733797
0,0,6.814677452,0.119765012,56.90040319
0,0,4.283625338,0.073402137,58.35831926
0,0,5.076481199,0.111278633,45.61955038
0,0,10.22242339,0.210864232,48.47869792
0.00211108,0.1478659,11.92393232,0.170237861,70.04277587
0,0,7.281491776,0.084031907,86.65151175
0,0,6.57545133,0.134869473,48.75418581
0,0,6.05221078,0.14435157,41.92687884
0,0,22.88899347,0.330961865,69.15900563
0,0,12.44864645,0.225807459,55.12947408
0,0,5.179110653,0.162142956,31.9416321
0,0,15.19608476,0.264133111,57.53191897
0,0,11.58148724,0.225202281,51.42704242
0,0,4.748136564,0.099644671,47.65068242
0.000895787,0.0633711,18.54120982,0.26209056,70.74352396
0.008298738,0.760453201,30.58643135,0.333786185,91.63480322
0,0,2.351421644,0.041910902,56.10525079
0,0,16.51986275,0.356247818,46.37182854
0,0,2.606907245,0.029755705,87.61033478
0,0,4.317108097,0.140110774,30.81210659
0.001179917,0.056329867,9.762206742,0.204484601,47.74054725
0,0,11.36474884,0.170428557,66.68336024
0,0,9.300382652,0.209284095,44.4390323
0,0,19.26025395,0.219888672,87.59093314
0,0,7.939807206,0.238225866,33.32890473
0,0,3.602535666,0.059167711,60.88685222
0,0,1.736727615,0.048723686,35.64442185
0,0,3.617807069,0.099654641,36.30344788
0,0,5.073592212,0.147681084,34.35505812
0,0,10.99688888,0.356546747,30.8427688
0,0,8.161885453,0.148553778,54.94229459
0.006813158,0.429515234,24.61482613,0.390451084,63.0420228
0,0,2.978133224,0.043211592,68.91977488
0,0,29.82523312,0.222650549,133.955354
0,0,10.86979345,0.249836273,43.50766731
0,0,8.071184465,0.122653868,65.80456529
0.003573199,0.192460378,14.0140241,0.260182921,53.86219832
0,0,20.80054463,0.246971505,84.22244751
0,0,9.087412146,0.174733769,52.00718891
0.003449958,0.211237,14.22930829,0.232395432,61.22886385
0,0,13.60886199,0.078812715,172.6734311
0,0,20.23104536,0.188278191,107.4529413
0.001688645,0.136130511,12.92458743,0.160324406,80.6152209
0,0,3.354535754,0.096032279,34.93133535
